Bk-Bk           - 11881 - 6.404%
SYM-Alt         - 20 - 0.011%
M-Tab           - 20 - 0.011%
Right-SYM       - 20 - 0.011%
TH-Bk           - 20 - 0.011%
Down-Bk         - 20 - 0.011%
Ctrl-S-SYM      - 20 - 0.011%
End-Enter       - 20 - 0.011%
B-C             - 20 - 0.011%
Shift-XXX-Comb-DV - 20 - 0.011%
M-C             - 20 - 0.011%
'-L             - 20 - 0.011%
Ctrl-Bk/SYM-TH  - 20 - 0.011%
"-L1            - 20 - 0.011%
L-AHK           - 20 - 0.011%
XXX-0x0068-XXX-0x0068 - 19 - 0.01%
M-K             - 19 - 0.01%
;-SYM           - 19 - 0.01%
U-Tab           - 19 - 0.01%
XXX-Comb-ON/SYM-S - 19 - 0.01%
__-,            - 19 - 0.01%
Ctrl-S-Alt/Esc  - 19 - 0.01%
W-Enter         - 19 - 0.01%
G-Enter         - 19 - 0.01%
9-Bk            - 19 - 0.01%
C-D             - 19 - 0.01%
D-T             - 19 - 0.01%
THE-E           - 19 - 0.01%
1-2             - 19 - 0.01%
M-Ctrl          - 19 - 0.01%
X-A             - 19 - 0.01%
THE-N           - 19 - 0.01%
Win-L           - 19 - 0.01%
A-SYM           - 19 - 0.01%
X-Enter         - 19 - 0.01%
X-I             - 19 - 0.01%
L1-]            - 19 - 0.01%
5-Enter         - 19 - 0.01%
ION-Enter       - 19 - 0.01%
Ctrl-Bk/SYM-R   - 19 - 0.01%
ING-.           - 19 - 0.01%
SYM-XXX-0x0106  - 19 - 0.01%
AHK-R           - 19 - 0.01%
XXX-0x012A-XXX-0x012A - 19 - 0.01%
B-B             - 18 - 0.01%
V-U             - 18 - 0.01%
Shift-X         - 18 - 0.01%
Ctrl-Ctrl-D     - 18 - 0.01%
Up-Down         - 18 - 0.01%
Del-Bk          - 18 - 0.01%
Left-Enter      - 18 - 0.01%
Media-Bk        - 18 - 0.01%
K-A             - 18 - 0.01%
I-H             - 18 - 0.01%
0-7             - 18 - 0.01%
__-/            - 18 - 0.01%
W-.             - 18 - 0.01%
S-F             - 18 - 0.01%
1-5             - 18 - 0.01%
ING-Enter       - 18 - 0.01%
ION-Bk          - 18 - 0.01%
Ctrl-Bk/SYM-THE - 18 - 0.01%
Alt/Esc-Alt/Esc - 18 - 0.01%
Bk-BL           - 18 - 0.01%
ION-A           - 18 - 0.01%
Bk-YOU          - 18 - 0.01%
YOU-'           - 18 - 0.01%
Bk-XXX-Comb-IP  - 18 - 0.01%
Down-Shift      - 17 - 0.009%
X-E             - 17 - 0.009%
Blank-SYM       - 17 - 0.009%
;-L             - 17 - 0.009%
D-SYM           - 17 - 0.009%
W-Shift         - 17 - 0.009%
Del-Ctrl        - 17 - 0.009%
__-XXX-Comb-DN/SYM - 17 - 0.009%
V-__            - 17 - 0.009%
1-3             - 17 - 0.009%
H-P             - 17 - 0.009%
Shift-&         - 17 - 0.009%
Y-T             - 17 - 0.009%
Clipboard-Clipboard - 17 - 0.009%
O-J             - 17 - 0.009%
F-Enter         - 17 - 0.009%
%-__            - 17 - 0.009%
P-C             - 17 - 0.009%
L-F             - 17 - 0.009%
__-4            - 17 - 0.009%
TH-Ctrl         - 17 - 0.009%
XXX-0x012A-Shift - 17 - 0.009%
Right-Left      - 16 - 0.009%
Left-SYM        - 16 - 0.009%
=-Bk            - 16 - 0.009%
Shift-Ctrl      - 16 - 0.009%
Up-Right        - 16 - 0.009%
Shift-BRO       - 16 - 0.009%
T-N             - 16 - 0.009%
C-#             - 16 - 0.009%
Bk-XXX-Comb-DN/SYM - 16 - 0.009%
Right-L1        - 16 - 0.009%
2-2             - 16 - 0.009%
Enter-F2        - 16 - 0.009%
F2 -Bk          - 16 - 0.009%
O-Ctrl          - 16 - 0.009%
Left-L1         - 16 - 0.009%
Up-Bk           - 16 - 0.009%
Blank-Blank     - 16 - 0.009%
Bk-XXX-Comb-IN/SYM - 16 - 0.009%
A-E             - 16 - 0.009%
0-3             - 16 - 0.009%
Del-Shift       - 16 - 0.009%
Ctrl-Ctrl-F12   - 16 - 0.009%
K-Ctrl          - 16 - 0.009%
A-.             - 16 - 0.009%
M-N             - 16 - 0.009%
(-S             - 16 - 0.009%
T-P             - 16 - 0.009%
Shift-FOR       - 16 - 0.009%
G-Y             - 16 - 0.009%
D-N             - 16 - 0.009%
1-9             - 16 - 0.009%
.-U             - 16 - 0.009%
__-X            - 16 - 0.009%
M-R             - 16 - 0.009%
U-U             - 16 - 0.009%
S-D             - 16 - 0.009%
#-Bk            - 16 - 0.009%
I-Ctrl          - 16 - 0.009%
BRO-I           - 16 - 0.009%
N-FOR           - 16 - 0.009%
,-SYM           - 16 - 0.009%
M-AHK           - 15 - 0.008%
Q-M             - 15 - 0.008%
.-Tab           - 15 - 0.008%
Blank-L1        - 15 - 0.008%
{-Enter         - 15 - 0.008%
=-Enter         - 15 - 0.008%
V-Y             - 15 - 0.008%
3-3             - 15 - 0.008%
Enter-H         - 15 - 0.008%
Bk-XXX-Comb-FL  - 15 - 0.008%
E-QU            - 15 - 0.008%
Y-M             - 15 - 0.008%
Down-Ctrl       - 15 - 0.008%
I-SYM           - 15 - 0.008%
Left-Shift      - 15 - 0.008%
T-XXX-Comb-IN/SYM - 15 - 0.008%
Ctrl-Ctrl-Enter - 15 - 0.008%
Bk-6            - 15 - 0.008%
;-C             - 15 - 0.008%
L-.             - 15 - 0.008%
A-X             - 15 - 0.008%
?-__            - 15 - 0.008%
K-XXX-Comb-IN/SYM - 15 - 0.008%
1-Shift         - 15 - 0.008%
M-L             - 15 - 0.008%
__-'            - 15 - 0.008%
Bk-5            - 15 - 0.008%
.-K             - 15 - 0.008%
7-Bk            - 15 - 0.008%
P-H             - 15 - 0.008%
Bk-XXX-Comb-BM  - 15 - 0.008%
Blank-XXX-0x012A - 15 - 0.008%
Q-Q             - 15 - 0.008%
V-S             - 14 - 0.008%
N-;             - 14 - 0.008%
x => x-Bk       - 14 - 0.008%
.-N             - 14 - 0.008%
Shift-Tab       - 14 - 0.008%
)-.             - 14 - 0.008%
Enter-F         - 14 - 0.008%
F2 -Shift       - 14 - 0.008%
Shift-QU        - 14 - 0.008%
SYM-XXX-0x1300  - 14 - 0.008%
Enter-Clipboard - 14 - 0.008%
Bk-Media        - 14 - 0.008%
Bk-9            - 14 - 0.008%
Bk-Del          - 14 - 0.008%
X-C             - 14 - 0.008%
D-L             - 14 - 0.008%
Left-Ctrl       - 14 - 0.008%
I-,             - 14 - 0.008%
Q-Bk            - 14 - 0.008%
E--             - 14 - 0.008%
O-H             - 14 - 0.008%
Y-W             - 14 - 0.008%
FOR-R           - 14 - 0.008%
Ctrl-Bk/SYM-D   - 14 - 0.008%
Ctrl-Bk/SYM-B   - 14 - 0.008%
Ctrl-Bk/SYM-T   - 14 - 0.008%
!-Bk            - 14 - 0.008%
__-AHK          - 13 - 0.007%
B-T             - 13 - 0.007%
XXX-0x006A-XXX-0x006A - 13 - 0.007%
Down-__         - 13 - 0.007%
S-Q             - 13 - 0.007%
SYM-Home        - 13 - 0.007%
Ctrl-Ctrl-N/SYM - 13 - 0.007%
Ctrl-Ctrl-Shift - 13 - 0.007%
Ctrl-Shift-Ctrl-Right - 13 - 0.007%
.-SYM           - 13 - 0.007%
B-Ctrl          - 13 - 0.007%
R-,             - 13 - 0.007%
"-__            - 13 - 0.007%
P-.             - 13 - 0.007%
Ctrl-S-Media    - 13 - 0.007%
Left-,          - 13 - 0.007%
4-0             - 13 - 0.007%
Clipboard-Bk    - 13 - 0.007%
L1-```          - 13 - 0.007%
.-R             - 13 - 0.007%
7-9             - 13 - 0.007%
1-.             - 13 - 0.007%
2-.             - 13 - 0.007%
.-1             - 13 - 0.007%
D-L1            - 13 - 0.007%
3-5             - 13 - 0.007%
9-1             - 13 - 0.007%
Snip-Enter      - 13 - 0.007%
N-P             - 13 - 0.007%
F-Y             - 13 - 0.007%
'-D             - 13 - 0.007%
Z-E             - 13 - 0.007%
?-Shift         - 13 - 0.007%
K-L             - 13 - 0.007%
H-Y             - 13 - 0.007%
Ctrl-Left-Bk    - 13 - 0.007%
Ctrl-Right-SYM  - 13 - 0.007%
L-L1            - 13 - 0.007%
H-S             - 13 - 0.007%
*-__            - 13 - 0.007%
.-5             - 13 - 0.007%
XXX-Comb-BM-I   - 13 - 0.007%
J-K             - 13 - 0.007%
Enter-Y         - 12 - 0.006%
>-__            - 12 - 0.006%
N-,             - 12 - 0.006%
__-;            - 12 - 0.006%
E-Alt/Esc       - 12 - 0.006%
Ctrl-O-Ctrl     - 12 - 0.006%
.-L1            - 12 - 0.006%
End-Bk          - 12 - 0.006%
T-;             - 12 - 0.006%
Enter-3         - 12 - 0.006%
AHK-Alt/Esc     - 12 - 0.006%
.-I             - 12 - 0.006%
QU-Bk           - 12 - 0.006%
L-N             - 12 - 0.006%
L1-}            - 12 - 0.006%
D-Ctrl          - 12 - 0.006%
Alt/Esc-Ctrl    - 12 - 0.006%
Bk-Clipboard    - 12 - 0.006%
Down-Left       - 12 - 0.006%
L-R             - 12 - 0.006%
H-K             - 12 - 0.006%
Ctrl-F12-Ctrl   - 12 - 0.006%
S-G             - 12 - 0.006%
G-S             - 12 - 0.006%
;-Shift         - 12 - 0.006%
XXX-Comb-FL-Enter - 12 - 0.006%
Y-U             - 12 - 0.006%
U-O             - 12 - 0.006%
?-Bk            - 12 - 0.006%
E-TH            - 12 - 0.006%
V-Enter         - 12 - 0.006%
I-.             - 12 - 0.006%
Media-S         - 12 - 0.006%
U-'             - 12 - 0.006%
G-ING           - 12 - 0.006%
ING-Shift       - 12 - 0.006%
M-ING           - 12 - 0.006%
'-Shift         - 12 - 0.006%
Ctrl-Bk/SYM-A   - 12 - 0.006%
Ctrl-Right-__   - 12 - 0.006%
A-BL            - 12 - 0.006%
2-Shift         - 12 - 0.006%
"-SYM           - 12 - 0.006%
S-Alt/Esc       - 12 - 0.006%
Enter-Win       - 11 - 0.006%
Ctrl-Right-Ctrl-Left - 11 - 0.006%
K-U             - 11 - 0.006%
Tab-N           - 11 - 0.006%
Tab-I           - 11 - 0.006%
D-;             - 11 - 0.006%
Ctrl-Ctrl       - 11 - 0.006%
Ctrl-S-L1       - 11 - 0.006%
Ctrl-/-Ctrl     - 11 - 0.006%
)-Left          - 11 - 0.006%
XXX-Comb-DV-Shift - 11 - 0.006%
Clipboard-SYM   - 11 - 0.006%
XXX-Comb-TN/SYM-__ - 11 - 0.006%
Del-SYM         - 11 - 0.006%
3-2             - 11 - 0.006%
Tab-;           - 11 - 0.006%
Ctrl-F12-Ctrl-F12 - 11 - 0.006%
__-6            - 11 - 0.006%
D-Tab           - 11 - 0.006%
__-Media        - 11 - 0.006%
Undo Tab-L1     - 11 - 0.006%
Bk-8            - 11 - 0.006%
Y-A             - 11 - 0.006%
5-5             - 11 - 0.006%
Enter-4         - 11 - 0.006%
N-J             - 11 - 0.006%
O-X             - 11 - 0.006%
O-TH            - 11 - 0.006%
C-W             - 11 - 0.006%
I-Z             - 11 - 0.006%
4-__            - 11 - 0.006%
N-B             - 11 - 0.006%
P-ING           - 11 - 0.006%
H-H             - 11 - 0.006%
AHK-O           - 11 - 0.006%
G-T             - 11 - 0.006%
5-9             - 11 - 0.006%
Bk-7            - 11 - 0.006%
S-ENT           - 11 - 0.006%
Ctrl-Bk/SYM-H   - 11 - 0.006%
XXX-0x1300-Ctrl-Right - 11 - 0.006%
XXX-0x0119-SYM  - 11 - 0.006%
ING-Ctrl        - 11 - 0.006%
YOU-Bk          - 11 - 0.006%
Shift-YOU       - 11 - 0.006%
I-J             - 11 - 0.006%
